Title,Videos,Time,Date,Type,VLink,Highlights,HLink,Overlay
Outlast,9,4:36:08,2016-05-23,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eg4pffEOGs7-3fkS2knvv22,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3eir15wkzeBG8JUyiBGWCHf1,Pulse
Daylight,5,2:01:01,2016-06-20,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eigflFcBp2gaQMCtIKlmlcs,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiUHXtxDLY7ynzdvjfKBnWd,Pulse
DOOM Demo,1,0:24:23,2016-07-07,Video,https://www.youtube.com/watch?v=GeIMY5rHnio,,,Pulse
FEAR,13,9:35:18,2016-07-11,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehy8R5Tqs0mRPcZIpvEQpZQ,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiQSegtc8jN5z5OX5Cln8pC,Pulse
System Shock Demo,1,0:11:08,2016-08-25,Video,https://www.youtube.com/watch?v=wFBGWQqYinU,,,Pulse
Alien: Isolation,15,16:02:26,2016-08-29,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eizDbhJAwBy9eZJ0ARnbfDd,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehCrc_BpYgFpwhCOYgAd6Sc,Pulse
Outlast 2 Demo,1,0:19:37,2016-10-10,Video,https://www.youtube.com/watch?v=hMrUwnzrWIU,,,Pulse
FEAR 2: Project Origin,11,7:43:19,2016-10-24,Playlist,https://www.youtube.com/playlist?list=8MigsqPh6VLZk,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3egAZHxIsU0D81bB1kFzaHhX,Pulse
Killing Floor 2,12,5:20:48,2016-10-20,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ei9pwzIAGzbjt81nDGtiQoM,,,Pulse
Audiosurf 2,2,1:01:19,2016-12-01,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehOBG_wEBJI3U5r9PeN2L2s,,,Gaze
Outlast: Whistleblower,4,2:36:51,2016-12-05,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehlZMEWzKxsDS8P9wdkIosD,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehwNBedc0l6Kipyj33RZgcs,Pulse
Super Meat Boy,5,4:33:49,2016-12-06,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiTXtR1rtBHx8tpwv9XCr8G,,,Gaze
FEAR 3,16,10:42:46,2016-12-19,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiIgQb8HB06REFKCWzbrKPB,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehbBhCitJeQwTZGVC93oFPm,Pulse
Resident Evil 7 Teaser,2,1:04:43,2016-12-23,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egNa90IC-UPo1acp8cwJIke,,,Pulse
DuckTales Remastered,6,4:03:38,2017-02-07,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egMJERa0o4q2gwGe2nHO1RG,,,Gaze
Amnesia: The Dark Descent,7,5:54:47,2017-02-13,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egvcUPhtOYdDeNaZk_HR7qR,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejrPTkxTpM62Yfb0Tcq3FOn,Pulse
Dead Space,13,11:32:00,2017-02-13,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehmV6gMBITbtc_h4mGMUuSt,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehfcJ11H3BsvmQFQDs_JIo1,Pulse
Braid,6,3:51:34,2017-03-28,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egW3QbR94itbNxUVEpzd0g8,,,Gaze
Amnesia: A Machine for Pigs,6,3:52:48,2017-04-24,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egrBsnH7YJbqw6FMJ_s95b6,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiMeU3PkmXrCjNVjxRuZiH8,Pulse
Portal,11,2:04:04,2017-05-09,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eie_pkcj19U9CCdhwmyNzb_,,,Gaze
Dead Space 2,13,9:02:22,2017-05-15,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehzI6MCMaaB-y9-xrak4Jv4,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ej51oZy_L-bHsm4JWK-45Gv,Pulse
The Witness,9,9:23:22,2017-05-30,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejvQ6jQottpLMNuO0MUbsjB,,,Gaze
SOMA,7,7:35:48,2017-07-03,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejEmYmiQLAbqPQi632gpO5x,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiRWHqaMIPVWuxhttCea_Yc,Pulse
Dead Space 3,20,14:06:16,2017-07-31,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eh02Em0rexkvIQdUrefma4Y,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehJ_z96TlZsohYgRxIzMU1B,Pulse
Portal 2,9,4:29:40,2017-08-01,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egn08-nP3JCkriOFmDYemtm,,,Gaze
Layers of Fear,8,03:56:07,2017-10-09,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejlOoKr9dY-fQi3JXrPyz4-,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiE1n-m_oUIYDRJo1S6IqFI,Pulse
Antichamber,5,3:52:52,2017-10-03,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehKKwr__crfpH4MbLe9YhJ3,,,Gaze
Scanner Sombre,9,02:24:26,2017-11-07,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egmKaiVdoJWEf6HJRLiJoKj,,,Gaze
Outlast 2,15,09:19:36,2017-11-06,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egxBHzRt8MtPN6vlUug9B7C,Highlights,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejPuQeON3cvVTGPHuUc8Jt1,Both
Dead by Daylight,7,01:48:31,2017-12-25,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiLCDg8z893JnO8ZdI8JigJ,,,Both
Dark Souls,21,21:41:17,2018-01-01,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehPVl3XwCSWFiY-Rt_mnnNR,,,Both
Dust: An Elysian Tail,12,12:49:14,2018-01-02,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejoner2n6W2Pn5eXJtl50ZS,,,Gaze
Metro 2033 Redux,16,08:41:27,2018-03-12,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egm1Vjnd_BIGtf2mQTXzGm-,,,Both
Bastion,8,05:51:00,2018-03-27,Playlist,https://www.youtube.com/watch?v=ltPvIAkY9OE&list=PLTPlnsPlK3ejWAIe7sgKekJw2NS-mhg98,,,Gaze
Bastion NG+,8,04:28:02,2018-05-22,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejT9QV4CA1WpheDgnCYK7u6,,,Gaze
Dark Souls 2,22,16:56:56,2018-05-07,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejpeBg2uvjF2aufMFuHMPhA,,,Both
Agony,13,09:40:43,2018-07-10,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eiGbDSKxxf3OnMGnvThrGpk,,,Both
To the Moon,8,04:13:31,2018-07-10,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eg1o4EikT22Km6g5B2zgxm,,,Both
Metro Last Light Redux,16,13:11:56,2018-07-23,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ei05XgHvSix9Sp8804gEhJz,,,Both
Finding Paradise,8,04:30:27,2018-08-28,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egRGBGA8,,,Both
Agony - Succubus Mode,5,04:25:34,2018-09-05,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehtEwaEx-hpf4r7mY6PwzZw,,,Both
Dark Souls III,18,15:06:17,2018-09-17,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehtnPFQtpYmwHCrilMvlvhJ,,,Both
Rayman Origins,21,11:53:21,2018-10-21,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejqtNnw3KOT-QodCbTGyBT8,,,Gaze
Wolfenstein: The New Order,32,20:03:09,2018-11-19,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3eimrF_Fxdl2b_N7NTExxElm,,,Both
Closure,12,05:59:31,2019-02-26,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehq2cIlJVtBl6fFHRnVTEsB,,,Gaze
Wolfenstein: The Old Blood,9,06:19:14,2019-03-04,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehXXtoa1X0EJl131HljluyZ,,,Gaze
DOOM,26,14:42:01,2019-04-08,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ejdd0ZAHt8JcjRW_jE7CgpQ,,,Both
Typoman,7,3:12:48,2019-05-21,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3egnXpbVhVlGH8mvfKvk_KA_,,,Gaze
Dark Devotion,18,14:58:35,2019-05-23,Playlist,https://www.youtube.com/playlist?list=PLTPlnsPlK3ehlxmgjqHVbSQaFUwL7Ek8e,,,Pulse
Viscera Cleanup Detail,26,21:19:47,2019-07-08,Playlist,https://www.youtube.com/playlist?list=,,,Both
Serial Cleaner,9,05:06:00,2019-07-09,Playlist,https://www.youtube.com/playlist?list=,,,Gaze
